AD	49	49
AE	233	235
AL	161	157
AR	1065	1067
AS	20	20
AT	363	363
AU	228	1248
AX	39	39
BA	271	271
BD	317	315
BE	254	255
BG	351	353
BM	20	20
BO	432	432
BR	1457	1457
BT	158	157
BW	220	222
BY	3	3
CA	1372	1373
CC	10	10
CH	277	275
CL	706	706
CO	741	745
CR	149	149
CW	49	49
CX	10	10
CY	53	55
CZ	354	353
DE	418	418
DK	353	353
DO	78	78
EC	471	471
EE	234	235
EG	2	2
ES	862	863
FI	466	471
FO	70	69
FR	862	863
GB	664	667
GE	350	353
GH	477	476
GI	12	12
GL	58	59
GR	469	471
GT	354	353
GU	20	20
HK	88	88
HR	291	294
HU	355	353
ID	1161	1164
IE	354	353
IL	216	216
IM	39	39
IN	702	704
IS	234	235
IT	710	708
JE	20	20
JO	237	237
JP	1023	1028
KE	649	647
KG	236	235
KH	468	471
KR	352	353
KZ	294	294
LA	60	59
LB	4	5
LI	39	41
LK	351	353
LS	99	98
LT	236	235
LU	87	88
LV	234	235
MC	16	16
ME	131	129
MG	6	6
MK	101	99
ML	1	1
MN	98	98
MO	24	24
MP	20	20
MQ	1	1
MT	87	88
MX	1136	1138
MY	747	745
NA	391	392
NG	370	369
NL	314	314
NO	624	628
NP	233	235
NZ	511	510
OM	353	353
PA	148	149
PE	666	667
PH	813	814
PK	6	6
PL	588	588
PN	2	2
PR	59	59
PS	93	93
PT	315	314
PY	470	471
QA	138	137
RE	49	49
RO	555	555
RS	233	235
RU	1694	1691
RW	87	87
SE	705	706
SG	69	69
SI	163	177
SK	236	235
SM	47	49
SN	420	418
ST	6	5
SZ	137	137
TH	901	902
TN	196	196
TR	770	771
TW	351	353
UA	510	510
UG	78	78
UM	6	6
US	1976	1976
UY	353	353
VI	59	59
VN	668	667
ZA	1074	1074
